Country,Year,Trust_Percentage
Morocco,2004,23.02894
Morocco,2010,12.75
Morocco,2014,12.33333
Morocco,2022,16.5
Myanmar,2022,15.08333
Netherlands,2004,59.38604
Netherlands,2010,54.11947
Netherlands,2014,66.1409
Netherlands,2022,57.02047
New Zealand,2010,48.53249
New Zealand,2014,55.29132
New Zealand,2022,56.57521
Nicaragua,2022,4.25
Nigeria,2004,25.32146
Nigeria,2014,15.01244
Nigeria,2022,13.00635
North Macedonia,2004,13.06877
North Macedonia,2010,17.51093
North Macedonia,2022,15.05892
Northern Cyprus,2010,4.674655
Northern Ireland,2004,38.1769
Northern Ireland,2010,28.51343
Northern Ireland,2022,38.80566
Norway,2010,73.28255
Norway,2022,72.09141
Pakistan,2004,28.15
Pakistan,2014,22.16998
Pakistan,2022,23.30827
Palestine,2014,15.8
Peru,2004,10.59294
Peru,2010,6.202934
Peru,2014,8.369775
Peru,2022,4.161271
Philippines,2004,8.293602
Philippines,2014,3.151812
Philippines,2022,5.330985
Poland,2004,18.27376
Poland,2010,22.85221
Poland,2014,22.21159
Poland,2022,24.11202
Portugal,2004,9.820824
Portugal,2010,19.16701
Portugal,2022,16.91347
Puerto Rico,2004,22.36111
Puerto Rico,2022,17.6575
Qatar,2014,21.428
Romania,2004,9.860384
Romania,2010,17.83797
Romania,2014,7.672767
Romania,2022,12.13196
Russia,2004,22.93443
Russia,2010,26.24944
Russia,2014,27.84828
Russia,2022,22.87902
Rwanda,2010,4.844061
Rwanda,2014,16.63392
Saudi Arabia,2004,50.53262
Serbia,2004,18.33333
Serbia,2010,12.64305
Serbia,2022,16.3166
Singapore,2004,16.66935
Singapore,2014,37.30294
Singapore,2022,34.39151
Slovakia,2004,15.22629
Slovakia,2010,12.10387
Slovakia,2022,21.59557
Slovenia,2004,21.17296
Slovenia,2010,21.08073
Slovenia,2014,19.92516
Slovenia,2022,25.26486
South Africa,2004,11.51627
South Africa,2014,23.28115
South Korea,2004,27.33333
South Korea,2010,28.00356
South Korea,2014,26.45815
South Korea,2022,32.93173
Spain,2004,34.50539
Spain,2010,27.64687
Spain,2014,18.97492
Spain,2022,40.96439
Sweden,2004,63.71845
Sweden,2010,63.94534
Sweden,2014,60.10379
Sweden,2022,62.76585
Switzerland,2010,52.23752
Switzerland,2022,58.53579
Taiwan,2010,24.17406
Taiwan,2014,30.26633
Taiwan,2022,30.79179
Tajikistan,2022,20.58333
Tanzania,2004,7.685739
Thailand,2010,41.26467
Thailand,2014,32.08202
Thailand,2022,28.88868
Trinidad and Tobago,2010,3.819066
Trinidad and Tobago,2014,3.203203
Tunisia,2014,15.51867
Tunisia,2022,13.8245
Turkey,2004,15.51625
Turkey,2010,8.844386
Turkey,2014,11.62453
Turkey,2022,13.99586
Uganda,2004,7.587222
Ukraine,2004,26.07209
Ukraine,2010,25.98927
Ukraine,2014,23.1215
Ukraine,2022,28.34588
United Kingdom,2004,28.54928
United Kingdom,2010,35.34413
United Kingdom,2022,43.31179
United States,2004,35.51853
United States,2010,39.13124
United States,2014,34.81074
United States,2022,37.02172
Uruguay,2010,24.6
Uruguay,2014,13.8
Uruguay,2022,14.47495
Uzbekistan,2014,13.86667
Venezuela,2004,15.83333
Venezuela,2022,14.20168
Vietnam,2004,38.7
Vietnam,2010,50.90301
Vietnam,2022,27.66667
Yemen,2014,38.5
Zambia,2010,10.8
Zimbabwe,2004,11.66829
Zimbabwe,2014,8.294227
Zimbabwe,2022,2.139918
